20160319-040903.795758,4342
20160319-040903.796495,3107
20160319-040903.798831,6341
20160319-040903.800187,9818
20160319-040903.802799,8784
20160319-040903.804175,7161
20160319-040903.806815,10353
20160319-040903.808335,11241
20160319-040903.810815,9918
20160319-040903.812180,7252
20160319-040903.814798,3927
20160319-040903.816219,3336
20160319-040903.818812,7029
20160319-040903.820174,9992
20160319-040903.822802,8331
20160319-040903.824177,7390
20160319-040903.826896,10830
20160319-040903.828183,11044
20160319-040903.830804,9671
20160319-040903.833440,6717
20160319-040903.834803,3572
20160319-040903.837436,3648
20160319-040903.838806,7728
20160319-040903.841434,9992
20160319-040903.842800,7937
20160319-040903.845436,7790
20160319-040903.846800,11150
20160319-040903.849441,10885
20160319-040903.850811,9307
20160319-040903.853442,6208
20160319-040903.854804,3287
20160319-040903.857439,4089
20160319-040903.860067,8360
20160319-040903.861436,9880
20160319-040903.862803,7584
20160319-040903.865440,8284
20160319-040903.866799,11353
20160319-040903.869442,10703
20160319-040903.870801,8963
20160319-040903.873439,5653
20160319-040903.876076,3125
20160319-040903.877446,4606
20160319-040903.880074,8939
20160319-040903.881442,9674
20160319-040903.884068,7261
20160319-040903.885442,8901
20160319-040903.888070,11432
20160319-040903.889443,10512
20160319-040903.892066,8548
20160319-040903.893440,5133
20160319-040903.896067,3034
20160319-040903.897441,5244
20160319-040903.900086,9389
20160319-040903.902691,9374
20160319-040903.904070,7143
20160319-040903.905443,9486
20160319-040903.908075,11415
20160319-040903.909449,10321
20160319-040903.912077,8096
20160319-040903.914689,4633
20160319-040903.916071,3069
20160319-040903.918695,5906
20160319-040903.920076,9748
20160319-040903.922686,9019
20160319-040903.924074,7093
20160319-040903.926685,10098
20160319-040903.928076,11300
20160319-040903.930689,10124
20160319-040903.932079,7578
20160319-040903.934690,4195
20160319-040903.936076,3204
20160319-040903.938690,6629
20160319-040903.940076,9936
20160319-040903.942687,8613
20160319-040903.944077,7261
20160319-040903.946688,10600
20160319-040903.948078,11156
20160319-040903.950690,9839
20160319-040903.952081,7099
20160319-040903.954692,3763
20160319-040903.957317,3472
20160319-040903.958698,7328
20160319-040903.961318,10015
20160319-040903.962689,8202
20160319-040903.965318,7525
20160319-040903.966693,11006
20160319-040903.969321,11009
20160319-040903.970691,9563
20160319-040903.973317,6535
20160319-040903.974694,3454
20160319-040903.977317,3848
20160319-040903.978691,8008
20160319-040903.981333,9957
20160319-040903.982699,7825
20160319-040903.985319,7972
20160319-040903.986693,11250
20160319-040903.989321,10838
20160319-040903.990695,9186
20160319-040903.993323,6006
20160319-040903.994698,3228
20160319-040903.997321,4295
20160319-040903.999950,8616
20160319-040904.001322,9827
20160319-040904.003945,7449
20160319-040904.005318,8545
20160319-040904.007952,11403
20160319-040904.009323,10636
20160319-040904.011945,8819
20160319-040904.013329,5462
20160319-040904.015955,3066
20160319-040904.017326,4880
20160319-040904.019952,9136
20160319-040904.021331,9592
20160319-040904.023951,7196
20160319-040904.025326,9157
20160319-040904.027962,11435
20160319-040904.029328,10453
20160319-040904.031955,8384
20160319-040904.033329,4933
20160319-040904.035948,3043
20160319-040904.037324,5506
20160319-040904.039952,9551
20160319-040904.042577,9239
20160319-040904.043949,7090
20160319-040904.046576,9771
20160319-040904.047957,11368
20160319-040904.050578,10248
20160319-040904.051949,7884
20160319-040904.054584,4492
20160319-040904.055952,3084
20160319-040904.058583,6211
20160319-040904.059951,9815
20160319-040904.062580,8872
20160319-040904.063952,7149
20160319-040904.066580,10309
20160319-040904.067960,11247
20160319-040904.070583,10030
20160319-040904.071951,7373
20160319-040904.074583,4045
20160319-040904.075955,3292
20160319-040904.078585,6896
20160319-040904.081204,9983
20160319-040904.082584,8457
20160319-040904.085205,7355
20160319-040904.086584,10762
20160319-040904.089208,11100
20160319-040904.090586,9748
20160319-040904.093205,6864
20160319-040904.094586,3645
20160319-040904.097205,3598
20160319-040904.098586,7628
20160319-040904.101209,9992
20160319-040904.102586,8043
20160319-040904.105206,7717
20160319-040904.106585,11121
20160319-040904.109211,10924
20160319-040904.110586,9419
20160319-040904.113207,6329
20160319-040904.114587,3354
20160319-040904.117213,3995
20160319-040904.118594,8272
20160319-040904.121212,9901
20160319-040904.123837,7675
20160319-040904.125212,8181
20160319-040904.127883,11309
20160319-040904.129218,10750
20160319-040904.131838,9054
20160319-040904.133212,5753
20160319-040904.135847,3160
20160319-040904.137219,4501
20160319-040904.139841,8837
20160319-040904.141212,9692
20160319-040904.143836,7346
20160319-040904.145211,8760
20160319-040904.147860,11418
20160319-040904.149221,10533
20160319-040904.151840,8654
20160319-040904.153214,5215
20160319-040904.155841,3048
20160319-040904.157221,5109
20160319-040904.159841,9277
20160319-040904.162477,9448
20160319-040904.163839,7117
20160319-040904.166474,9380
20160319-040904.167871,11406
20160319-040904.170478,10345
20160319-040904.171842,8175
20160319-040904.174479,4742
20160319-040904.175842,3025
20160319-040904.178482,5776
20160319-040904.179850,9624
20160319-040904.182495,9110
20160319-040904.183852,7067
20160319-040904.186480,9945
20160319-040904.187879,11335
20160319-040904.190485,10121
20160319-040904.191846,7708
20160319-040904.194484,4257
20160319-040904.195848,3137
20160319-040904.198486,6464
20160319-040904.199845,9883
20160319-040904.202482,8675
20160319-040904.205106,7190
20160319-040904.206482,10459
20160319-040904.209114,11194
20160319-040904.210484,9883
20160319-040904.213107,7170
20160319-040904.214482,3845
20160319-040904.217108,3389
20160319-040904.218501,7173
20160319-040904.221118,9959
20160319-040904.222490,8284
20160319-040904.225111,7443
20160319-040904.226489,10906
20160319-040904.229118,11006
20160319-040904.230489,9601
20160319-040904.233114,6629
20160319-040904.235724,3522
20160319-040904.237115,3713
20160319-040904.238494,7863
20160319-040904.241116,9957
20160319-040904.242487,7869
20160319-040904.245114,7872
20160319-040904.247728,11197
20160319-040904.249115,10824
20160319-040904.251726,9269
20160319-040904.253117,6100
20160319-040904.255726,3242
20160319-040904.257110,4207
20160319-040904.259733,8434
20160319-040904.261121,9845
20160319-040904.263728,7520
20160319-040904.265117,8393
20160319-040904.267727,11350
20160319-040904.269118,10656
20160319-040904.271729,8881
20160319-040904.273115,5565
20160319-040904.275729,3087
20160319-040904.278362,4718
20160319-040904.279729,9004
20160319-040904.281115,9627
20160319-040904.283730,7234
20160319-040904.285116,8995
20160319-040904.287728,11420
20160319-040904.290358,10468
20160319-040904.291731,8454
20160319-040904.294359,5030
20160319-040904.295731,3037
20160319-040904.298360,5327
20160319-040904.299733,9451
20160319-040904.302363,9327
20160319-040904.303733,7049
