objname,dist_parsec,vgsr(km/s)
NGC3321,37.3250157796,2316
ESO437-030,44.0554863507,3552
ESO501-068,60.2559586074,2878
ESO437-031,57.8096047406,3676
NGC3320,33.7287308659,2357
UGC05798,32.9609712177,1573
ESO437-034,52.2396188999,3561
ESO437-035,34.0408189701,3187
NGC3347A,39.26449354,2567
NGC3347C,23.2273679636,2442
ESO501-075,45.7088189615,5030
ESO437-039,39.6278034255,3538
ESO501-078,50.8159442561,4238
ESO318-003,41.4954042634,2548
ESO501-079,37.4973002245,999
NGC3347B,38.7257644922,2971
NGC3347,26.9153480393,2787
ESO501-082,71.7794291271,4323
ESO437-054,55.2077439281,3261
ESO501-086,58.6138164514,3531
ESO318-004,35.3183169792,2721
ESO501-088,70.4693068967,3686
ESO437-056,40.1790810849,2721
NGC3361,26.7916832482,1750
NGC3329,43.8530697775,2028
NGC3370,29.7851642943,1201
NGC3414,25.003453617,1420
PGC032548,39.4457302075,2317
ESO569-014,26.6685866452,1867
NGC3419A,47.424198526,2988
ESO376-023,74.4731973906,4547
UGC05974,25.1188643151,918
NGC3449,45.2897579904,3073
NGC3403,26.4240875732,1389
UGC06023,27.7971326776,1291
NGC3463,66.9884609417,3764
2MASXJ01415126-0052365,306.196343369,28074
ESO437-072,57.5439937337,3131
NGC2710,41.686938347,2628
PGC033043,109.144033645,6685
UGC06080,35.1560440528,2262
PGC023374,95.0604793656,4144
NGC3488,37.8442584717,3070
ESO377-004,42.8548520397,2946
SDSSJ215558.49-010413.0,331.131121483,21706
ESO377-010,39.26449354,2670
UGC06162,32.0626932451,2262
NGC3533,40.926065973,2914
ESO438-005,26.1818300822,1302
NGC3557,45.2897579904,2849
UGC06211,247.742205763,17384
NGC3568,32.359365693,2232
ESO377-021,35.4813389234,2556
ESO438-015,39.9944749761,3174
ESO377-031,45.2897579904,2813
NGC3607,22.5943577022,862
UGC06296,20.4173794467,905
ESO377-034,23.7684028662,2410
ESO319-011,46.7735141287,2897
NGC0493,22.9086765277,2501
NGC3614,34.6736850453,2364
ESO570-019,25.2348077248,1158
NGC3640,26.7916832482,1200
NGC3641,26.4240875732,1664
UGC06378,21.6770410482,1426
ESO319-016,96.8277856261,2682
NGC3655,23.1206479018,1430
NGC3663,73.4513868157,4867
NGC3654,26.1818300822,1691
NGC3672,23.4422881532,1714
ESO378-003,36.4753946926,2820
NGC3692,40.3645392968,1616
NGC3690,25.003453617,3213
NGC3697,98.174794302,6210
NGC3705,22.9086765277,926
UGC06509,41.686938347,2848
NGC3715,34.9945167028,1961
NGC3752,25.4683025259,2054
ESO503-022,23.4422881532,1692
NGC3729,21.0862814993,1084
ESO320-004,20.3235701094,2645
ESO378-011,50.8159442561,3029
NGC3733,22.181964198,1254
NGC3735,37.6703798984,2818
PGC027776,48.9778819368,3060
ESO439-018,127.643880881,8669
ESO439-020,70.4693068967,3913
UGC06609,116.949939102,7662
NGC3786,43.651583224,2693
NGC3794,20.7014134879,1461
ESO266-015,42.4619563946,2987
NGC3811,42.2668614266,3201
NGC3818,35.9749335156,1561
PGC036330,76.9130440287,7762
NGC3901,32.6587832172,1828
PGC036643,22.9086765277,1573
ESO440-004,33.8844156139,1660
NGC3879,28.1838293126,1552
NGC3905,103.276140576,5625
NGC3904,28.0543363795,1373
NGC3718,37.8442584717,1058
NGC0955,22.9086765277,1500
ESO320-026,48.305880204,2597
UGC06802,29.6483138952,1317
UGC06816,27.0395836411,969
NGC3923,20.0447202737,1369
ESO379-006,38.0189396321,2758
ESO504-024,23.3345806228,1716
IC2327,51.7606831951,2539
ESO504-025,24.0990542869,1460
NGC3613,28.8403150313,2100
NGC3956,22.0800473302,1490
NGC3962,35.3183169792,1705
ESO572-018,20.796966871,1436
NGC3981,24.3220400907,1555
NGC3976,33.7287308659,2408
ESO572-022,30.4789498963,1753
ESO320-035,30.0607630263,2804
ESO572-024,27.1643926884,1720
NGC3992,25.2348077248,1120
NGC3457,20.5116217883,1082
NGC3435,80.5378441199,5255
UGC06983,21.2813904598,1152
NGC4033,20.8929613085,1462
ESO505-003,20.796966871,1621
NGC4034,42.0726628384,2492
NGC4038,24.5470891569,1477
NGC4050,42.2668614266,1611
NGC3245,20.7014134879,1314
ESO572-049,29.9226463661,1503
ESO505-009,34.1979442514,1966
NGC4067,42.4619563946,2343
NGC3683A,37.4973002245,2483
NGC3701,39.4457302075,2764
IC2996,23.7684028662,2080
UGC07086,28.973435877,2155
NGC4105,26.302679919,1697
ESO379-027,41.1149721105,2673
IC3005,24.3220400907,1546
ESO441-007,22.80342072,2042
NGC4127,30.7609681474,1958
NGC4120,29.1071711807,2371
UGC07125,34.0408189701,1090
IC3015,24.4343055269,1855
IC1251,50.3500608788,1361
ESO441-011,28.973435877,1961
ESO441-012,29.7851642943,2002
NGC4142,25.7039578277,1235
ESO505-023,28.5759054337,1508
IC0764,22.4905460584,1961
ESO441-014,47.8630092323,1989
NGC4162,25.8226019063,2547
ESO321-010,38.5478357666,2934
NGC4178,25.003453617,308
PGC039018,23.9883291902,-209
NGC6181,33.5737614243,2489
UGC07239,32.6587832172,1146
UGC07249,27.4157417193,545
IC3059,23.7684028662,202
IC3066,27.4157417193,313
ESO321-016,25.9417936212,2993
ESO380-006,28.4446110745,2763
IC3074,35.4813389234,1913
NGC4219,20.8929613085,1797
IC3094,44.6683592151,-221
UGC07321,23.3345806228,385
NGC6323,107.151930524,7986
NGC3659,21.5774440915,1223
NGC4256,40.1790810849,2646
IC3148,24.0990542869,2406
NGC4273,27.9254384124,2297
NGC4284,69.1830970919,4294
NGC4291,32.2106879128,1843
UGC07387,38.194427084,1648
UGC06390,27.5422870334,1110
NGC4287,28.5759054337,2061
NGC3610,32.5087297385,1814
ESO573-014,96.3829023624,6701
UGC07421,24.7742205763,92
ESO380-019,39.8107170553,2756
NGC4314,43.651583224,984
NGC4331,20.796966871,1711
PGC040107,26.5460556198,1338
NGC4281,24.4343055269,2647
ESO380-023,53.9510622515,2564
IC3253,27.4157417193,2530
UGC04753,28.5759054337,1852
NGC4386,26.7916832482,1791
NGC4365,23.0144181741,1148
ESO380-025,20.6062991327,2612
IC3284,143.879857826,7785
NGC4373,39.6278034255,3237
NGC4376,22.181964198,1061
NGC4373A,36.982817978,2747
ESO322-009,23.3345806228,3366
NGC4416,39.8107170553,1321
PGC040766,21.2813904598,932
NGC4255,28.7078058202,1893
PGC040831,72.7779804537,1773
NGC4428,38.5478357666,2856
IC3371,31.477483141,856
NGC4434,22.181964198,1002
IC3370,26.5460556198,2754
ESO380-034,28.8403150313,2872
UGC07590,28.313919958,1053
ESO322-017,32.9609712177,3221
NGC4451,26.0615355,796
NGC3589,24.7742205763,2037
NGC4378,48.5288500162,2478
UGC07612,33.8844156139,1488
NGC4462,30.6196343369,1645
NGC3987,65.1628394061,4333
NGC4480,36.6437574648,2352
NGC4492,32.6587832172,1678
IC0797,23.2273679636,2053
UGC07697,45.0816704541,2508
IC3483,58.3445104274,79
NGC4520,116.412602941,7524
UGC07739,34.6736850453,1965
PGC041918,28.0543363795,1016
UGC07767,27.5422870334,1288
PGC041994,42.2668614266,711
NGC3599,20.1372424986,769
ESO442-013,24.6603933723,1362
NGC4589,25.9417936212,2144
NGC4574,38.5478357666,2783
NGC4575,29.1071711807,2800
ESO322-038,31.0455958813,2946
ESO322-040,47.2063041264,3172
UGC07802,20.5116217883,1710
ESO322-042,34.8337315036,3748
NGC4603A,31.1888958409,3517
NGC4593,46.7735141287,2364
UGC07844,23.9883291902,2004
NGC4602,33.8844156139,2436
NGC4603,36.4753946926,2412
NGC4608,20.2301917868,1787
NGC3440,39.8107170553,1992
NGC4619,97.7237220956,6952
IC0807,102.801629813,10822
NGC4603D,33.7287308659,2535
NGC4616,39.0840895792,4429
NGC4628,42.8548520397,2709
NGC4634,20.4173794467,80
PGC042717,35.1560440528,2345
NGC4639,25.351286305,941
IC3391,23.1206479018,1675
NGC4642,41.686938347,2559
NGC4651,23.2273679636,767
NGC4374,20.4173794467,945
NGC4645,29.6483138952,2434
ESO381-014,43.2513831035,3135
NGC4658,24.4343055269,2286
IC3742,22.5943577022,921
NGC4672,55.7185748932,3113
NGC3689,45.2897579904,2702
UGC07943,22.6986485188,772
NGC4680,38.194427084,2327
UGC07955,91.2010839356,6763
NGC4693,30.4789498963,1809
NGC4682,22.0800473302,2211
NGC4679,59.1561634175,4479
NGC4696D,35.6451133426,2464
NGC4704,110.153930954,8200
NGC2592,25.4683025259,1983
PGC043280,39.9944749761,2680
ESO268-044,37.6703798984,3306
NGC4696,36.140986264,2799
PGC043301,28.8403150313,2142
PGC043319,72.4435960075,3751
NGC4699,23.6591969749,1289
PGC043340,50.3500608788,2961
NGC4712,88.3079900419,4384
ESO322-101,27.0395836411,1781
PGC043379,34.1979442514,2705
NGC4708,63.9734835483,4010
PGC043412,36.6437574648,2705
NGC4709,42.8548520397,4498
ESO268-046,23.4422881532,2120
PGC043458,30.199517204,2280
NGC4749,32.5087297385,1883
NGC4729,30.0607630263,3164
NGC4746,30.6196343369,1738
NGC2775,43.4510224172,1221
PGC043679,26.0615355,2150
PGC043690,41.304750199,2449
ESO323-025,49.659232145,4052
ESO323-027,44.8745389933,3680
NGC4767A,45.2897579904,2741
NGC3684,20.6062991327,1092
ESO323-034,34.1979442514,4143
ESO507-041,32.8095293113,3026
ESO507-042,43.0526610492,3079
NGC4779,38.9045144994,2797
NGC4767,32.8095293113,2889
NGC4800,28.8403150313,934
NGC4786,66.3743070402,4529
PGC043970,30.0607630263,2358
UGC08052,29.1071711807,1686
ESO323-042,33.4195040026,4028
NGC3430,30.199517204,1563
NGC4394,24.6603933723,879
NGC3608,22.6986485188,1144
PGC044278,23.4422881532,1165
PGC044358,21.7770977235,1378
PGC044351,91.6220490122,6065
NGC4835,20.1372424986,2008
PGC044416,57.8096047406,7623
IC3976,135.518941235,6802
NGC4866,29.6483138952,1954
PGC044636,131.825673856,6831
ESO443-021,46.5586093523,2660
NGC4261,31.7687407065,2142
PGC044652,62.8058358813,6919
UGC08120,24.5470891569,1808
ESO269-028,53.4564359397,3100
PGC044679,111.686324778,7580
ESO381-041,24.0990542869,2420
PGC044784,59.7035286584,5477
NGC4897,47.2063041264,2445
NGC4902,47.2063041264,2516
ESO507-067,34.0408189701,2912
ESO381-051,61.3762005165,4846
UGC08146,20.1372424986,772
ESO443-041,72.7779804537,4722
ESO443-042,39.26449354,2762
NGC4941,20.4173794467,1022
NGC4939,36.6437574648,3009
NGC4947A,32.8095293113,2425
ESO575-053,31.0455958813,2411
NGC4947,24.6603933723,2247
NGC4946,47.2063041264,2942
ESO508-007,27.0395836411,2848
NGC4197,25.003453617,1998
ESO508-011,27.4157417193,2476
PGC044736,125.314117494,6915
ESO575-061,31.915378551,1521
ESO269-052,57.5439937337,3040
NGC4981,21.379620895,1588
UGC08229,80.9095899178,6007
NGC4995,28.313919958,1651
PGC045650,27.6694164541,2458
ESO508-019,39.6278034255,2826
ESO269-057,43.8530697775,2933
UGC08246,21.0862814993,849
ESO443-079,26.5460556198,1983
ESO576-001,78.7045789695,2756
ESO576-003,30.0607630263,2834
UGC08261,44.2588372363,898
ESO443-080,44.2588372363,1976
ESO576-005,66.6806769214,2634
NGC5011A,31.7687407065,3001
IC4213,20.1372424986,860
PGC045877,29.2415237784,2641
NGC5011,41.8793565118,2943
ESO443-083,20.2301917868,2227
NGC5018,38.194427084,2722
ESO576-011,32.5087297385,2636
NGC3504,32.5087297385,1503
NGC5022,35.8096437103,2881
NGC5032,133.659551655,6417
NGC4036,20.8929613085,1472
NGC4030,27.1643926884,1352
UGC05740,25.7039578277,693
NGC5044,30.9029543251,2581
NGC3611,37.8442584717,1503
UGC08333,21.4783047413,953
PGC021831,59.7035286584,4678
NGC5051,79.7994687268,4277
NGC3813,21.4783047413,1474
ESO508-034,24.5470891569,1777
IC4216,35.4813389234,2745
PGC046261,41.686938347,2530
IC4214,34.0408189701,2166
NGC5061,28.973435877,1900
ESO576-026,21.1836113525,1825
NGC5064,43.4510224172,2834
NGC5073,30.4789498963,2638
ESO382-041,28.5759054337,1601
NGC3898,36.307805477,1253
ESO508-051,34.0408189701,2003
ESO576-040,29.2415237784,1963
NGC5109,22.9086765277,2242
NGC5090,37.6703798984,2782
NGC5104,72.7779804537,5502
ESO040-007,25.351286305,2492
NGC5101,32.0626932451,1723
NGC5105,34.0408189701,2805
PGC046710,80.5378441199,6746
NGC3021,33.1131121483,1508
NGC5117,33.7287308659,2418
IC4231,27.9254384124,2131
NGC6462,171.395730751,11715
IC4232,128.233058266,9352
UGC06969,24.5470891569,1185
ESO508-067,109.144033645,7429
IC4237,26.7916832482,2540
PGC040408,27.1643926884,1675
NGC5005,21.4783047413,997
NGC4698,21.8776162395,953
ESO508-075,122.461619927,9813
ESO382-067,38.5478357666,2325
ESO444-037,33.2659553294,1760
NGC5152,83.5603018231,3766
NGC4125,23.6591969749,1502
UGC06686,76.9130440287,6475
UGC08318,39.0840895792,2372
NGC5161,21.1836113525,2246
ESO383-005,51.0504999975,3465
NGC3596,27.6694164541,1113
NGC5170,29.2415237784,1395
NGC5205,33.5737614243,1887
PGC047514,67.6082975392,4122
NGC5188,22.9086765277,2271
NGC5193,44.2588372363,3567
NGC5218,48.9778819368,2983
ESO040-012,38.194427084,2479
ESO383-032,95.0604793656,7067
ESO509-074,34.8337315036,2475
IC4296,51.9995996534,3642
NGC5219,25.4683025259,2382
ESO444-086,62.2300285169,3908
ESO324-044,31.6227766017,2384
NGC5254,28.313919958,2232
UGC08658,34.0408189701,2128
NGC5283,44.2588372363,3274
UGC10713,32.6587832172,1261
NGC2712,30.9029543251,1829
ESO445-015,74.4731973906,4248
ESO383-067,44.4631267469,3963
UGC08693,41.304750199,2500
NGC5289,44.2588372363,2598
NGC5297,28.973435877,2492
UGC08726,30.0607630263,2409
NGC4772,27.2897778281,965
UGC08737,37.3250157796,1924
UGC08733,30.199517204,2422
UGC08742,28.1838293126,2333
ESO383-088,53.2108259267,4106
NGC5304,63.3869711257,3648
PGC049153,149.96848355,8562
UGC08756,30.4789498963,1411
NGC4215,22.6986485188,1990
UGC08795,38.194427084,2373
ESO445-066,99.5405417352,7134
NGC5452,33.1131121483,2226
NGC5362,26.0615355,2177
PGC007299,218.776162395,13801
NGC5363,56.234132519,1110
NGC5377,29.1071711807,1895
ESO384-015,37.1535229097,3418
ESO445-081,91.2010839356,4239
NGC5365A,32.0626932451,2612
ESO510-026,22.3872113857,2256
IC4351,30.3389118419,2555
ESO445-085,75.5092227665,4163
NGC5322,30.9029543251,1928
ESO221-022,34.1979442514,2756
NGC5425,32.359365693,2179
IC0776,32.0626932451,2397
NGC5440,53.9510622515,3760
NGC5427,28.313919958,2636
ESO384-043,78.7045789695,4284
NGC5468,47.8630092323,2793
NGC5464,26.6685866452,2575
ESO325-055,64.5654229035,3897
NGC2778,22.6986485188,2002
NGC5490,77.2680585096,4878
NGC4289,45.0816704541,2526
NGC4448,23.8781128291,688
ESO446-023,118.576874817,6825
NGC5496,22.5943577022,1500
UGC08067,41.8793565118,2669
NGC5520,38.194427084,1991
NGC5494,47.6430986805,2504
ESO271-022,41.1149721105,2876
NGC5526,26.6685866452,2182
IC4386,20.3235701094,1736
NGC5523,21.5774440915,1092
NGC5533,47.424198526,3942
IC4390,20.1372424986,1981
IC4393,41.8793565118,2644
NGC5557,32.8095293113,3295
ESO385-008,57.0164272281,3630
NGC5566,20.1372424986,1526
NGC5582,28.1838293126,1528
ESO446-051,105.681750921,7126
NGC5576,25.2348077248,1423
PGC051291,34.35579479,2702
IC4407,47.2063041264,2679
NGC5611,25.003453617,2031
NGC5592,49.888448746,4241
NGC5595,28.7078058202,2635
NGC5604,45.0816704541,2719
UGC09242,24.3220400907,1561
NGC5631,27.5422870334,2086
IC4423,156.314764264,9130
ESO001-006,30.3389118419,2054
NGC5671,110.153930954,9138
UGC09291,38.3707245492,2983
NGC5638,26.0615355,1650
ESO385-031,36.982817978,3000
NGC5653,44.0554863507,3638
ESO385-032,37.1535229097,2722
ESO385-033,26.5460556198,2938
NGC5673,37.8442584717,2205
IC1029,51.5228644582,2502
ESO447-019,43.651583224,3769
NGC5658,23.1206479018,1604
UGC09391,39.8107170553,2047
UGC04655,94.1889596523,6062
ESO447-023,51.2861383991,3682
UGC09380,21.6770410482,1682
NGC5687,27.6694164541,2245
NGC4307,23.3345806228,986
UGC09389,34.8337315036,1858
UGC09401,110.153930954,5679
IC4468,27.1643926884,2377
NGC5720,120.781383511,7909
NGC5688,33.5737614243,2667
NGC5705,20.8929613085,1748
IC4472,29.2415237784,2739
PGC052460,30.7609681474,1848
NGC5728,27.7971326776,2729
UGC09482,39.26449354,1794
IC1048,26.1818300822,1584
ESO386-016,128.233058266,7177
NGC5746,27.0395836411,1709
ESO022-003,35.3183169792,2570
ESO580-022,21.7770977235,2159
IC1055,43.0526610492,2861
ESO580-029,34.0408189701,2527
NGC5756,24.2102904674,2094
PGC052853,36.8128973643,1998
PGC052882,109.144033645,12575
ESO580-041,29.2415237784,2888
UGC08084,23.1206479018,2709
PGC053093,43.4510224172,2541
NGC3646,57.0164272281,4192
NGC4180,34.9945167028,2112
ESO580-049,52.480746025,3919
NGC5783,39.8107170553,2499
UGC06583,89.949758153,6174
NGC5792,25.9417936212,1923
NGC5786,25.351286305,2867
ESO327-039,23.1206479018,2806
UGC09640,140.604752413,10072
NGC5812,26.6685866452,1899
PGC053634,39.9944749761,2887
NGC5813,31.915378551,1965
PGC053750,103.276140576,6362
PGC053764,39.6278034255,2414
NGC5831,26.9153480393,1640
PGC053779,20.796966871,1840
PGC046239,146.554784096,8971
PGC053796,47.424198526,2894
UGC09682,38.7257644922,1823
NGC5337,50.3500608788,2204
NGC5839,22.3872113857,1241
NGC5845,32.6587832172,1462
NGC5846,24.6603933723,1761
NGC4143,20.2301917868,1002
NGC5861,24.0990542869,1835
UGC09746,28.0543363795,1751
UGC09758,105.196187382,6586
NGC5833,31.915378551,2875
UGC09760,28.1838293126,2038
IC4536,21.8776162395,2239
ESO581-025,25.7039578277,2222
NGC5878,28.1838293126,1961
PGC054411,20.2301917868,1324
NGC5899,42.6579518802,2714
UGC09798,145.211161759,11336
NGC5898,28.8403150313,2073
NGC5903,33.5737614243,2506
ESO514-007,29.2415237784,2243
ESO582-004,36.4753946926,2177
ESO387-026,56.234132519,4285
PGC054817,33.2659553294,1932
NGC5308,28.4446110745,2142
ESO514-014,71.7794291271,3636
NGC5869,24.8885731828,2085
ESO582-012,24.0990542869,2271
UGC10791,35.1560440528,1519
UGC09856,38.3707245492,2608
ESO329-007,63.095734448,4523
NGC5937,37.3250157796,2824
ESO514-022,67.2976656284,4388
IC1129,51.5228644582,6712
NGC5938,26.5460556198,3361
NGC5981,51.7606831951,2692
NGC5970,27.9254384124,2022
NGC5982,37.6703798984,2993
NGC2990,43.0526610492,2944
NGC5985,55.7185748932,2682
UGC09977,29.3764965196,1949
NGC5980,50.1187233627,4164
UGC09991,41.1149721105,2010
IC4582,37.3250157796,2255
UGC10014,38.9045144994,1193
NGC5990,46.5586093523,3868
UGC10030,123.594743344,8956
IC4555,25.8226019063,2502
NGC5967,33.4195040026,2746
UGC10041,33.1131121483,2221
NGC6000,33.8844156139,2141
ESO515-010,75.5092227665,5694
UGC10058,69.5024317589,2256
PGC056286,181.134009262,11091
PGC012868,22.6986485188,2233
NGC6010,29.2415237784,2079
UGC10095,31.1888958409,2022
PGC056437,70.4693068967,4830
NGC6017,29.5120922667,1855
ESO583-008,134.896288259,7377
ESO009-001,32.2106879128,2397
IC1158,26.5460556198,1976
UGC10194,30.4789498963,1044
ESO451-008,82.4138115013,4635
ESO516-008,100.0,7096
NGC6070,26.1818300822,2055
UGC10244,141.905752169,10011
UGC10261,306.196343369,19156
ESO136-024,50.8159442561,4385
UGC12678,164.437172321,9138
ESO584-007,134.896288259,9493
UGC10288,34.0408189701,2096
ESO137-006,81.6582371359,5328
ESO137-007,43.4510224172,4839
ESO137-010,53.4564359397,3283
IC4596,146.554784096,7606
NGC6106,23.8781128291,1527
IC4595,37.4973002245,3274
NGC6118,20.8929613085,1622
NGC6172,84.7227414141,5074
UGC00040,100.925288608,7688
NGC6168,30.9029543251,2642
UGC10483,173.780082875,12384
ESO517-013,141.905752169,8275
PGC058798,21.2813904598,1619
NGC6237,23.2273679636,1318
NGC6236,22.80342072,1466
NGC6239,24.3220400907,1098
NGC6261,166.724721255,10698
UGC10704,257.039578277,19504
ESO138-013,22.80342072,2611
ESO138-014,21.4783047413,1395
UGC10721,45.498806015,3070
UGC10738,108.642562362,6820
UGC02134,41.304750199,4677
UGC10743,40.7380277804,2680
PGC059808,102.329299228,8275
IC4633,28.5759054337,2794
UGC12721,104.231742939,7786
UGC12792,130.617088813,11693
PGC072968,120.781383511,8081
PGC059955,140.604752413,9327
PGC085512,143.879857826,8220
NGC6339,25.003453617,2290
UGC10780,100.0,6851
NGC6365,113.240036324,8216
ESO138-024,24.6603933723,2762
NGC6395,20.1372424986,1357
UGC10887,36.6437574648,2027
UGC10852,32.5087297385,2907
NGC6368,33.2659553294,2894
NGC6372,41.1149721105,4913
UGC10874,127.643880881,6968
PGC060376,121.338885046,8883
NGC6384,24.3220400907,1783
NGC6411,59.1561634175,3947
IC1265,39.8107170553,2356
NGC6434,41.1149721105,2682
ESO009-010,27.0395836411,2259
PGC060771,177.010895832,1992
NGC6460,44.6683592151,3506
UGC11001,57.0164272281,4363
NGC6467,44.8745389933,3195
UGC11003,42.6579518802,4212
NGC6484,52.7229861423,3284
UGC11021,83.5603018231,5367
UGC11030,27.7971326776,1875
NGC6495,44.8745389933,3293
UGC11041,70.145529842,5048
UGC11050,71.4496326076,5050
UGC11055,38.5478357666,3091
UGC11060,66.6806769214,4843
UGC11064,104.231742939,7222
UGC11074,25.7039578277,2029
ESO139-046,26.302679919,2721
ESO139-049,28.5759054337,2658
PGC061289,63.9734835483,4825
UGC11093,21.6770410482,2096
UGC11097,78.3429642766,4771
PGC061353,27.4157417193,1932
NGC6548,22.80342072,2357
UGC11132,50.8159442561,3035
NGC6575,101.391138574,7072
UGC11142,67.6082975392,4690
NGC6574,38.9045144994,2444
ESO140-006,23.3345806228,2282
NGC6585,31.3328572432,3032
NGC6586,36.982817978,3312
UGC11182,63.095734448,4495
IC4694,31.0455958813,2690
UGC11188,54.9540873858,5454
UGC11194,63.6795520908,4917
ESO182-010,21.6770410482,3478
UGC11198,63.9734835483,4689
NGC6643,20.2301917868,1683
NGC6627,73.4513868157,5434
PGC061808,118.576874817,8275
NGC6651,68.2338694142,5962
UGC11255,119.124200803,9937
UGC11254,57.2796030986,5182
UGC11260,109.647819614,6385
NGC6667,43.8530697775,2792
UGC11295,41.304750199,2566
UGC11275,111.173172728,5655
NGC6662,89.949758153,5515
UGC11289,51.5228644582,4177
NGC6675,38.194427084,2702
UGC11301,72.4435960075,4675
NGC6674,54.9540873858,3619
UGC11334,100.461579028,4773
UGC11317,98.174794302,6777
UGC11320,74.8169500511,3888
UGC11328,92.0449571753,5862
NGC6695,113.762728582,5703
UGC11344,58.3445104274,4025
UGC11350,66.9884609417,4887
IC4758,59.4292158616,4387
NGC6702,68.5488226453,4941
NGC6703,26.4240875732,2512
UGC11371,48.5288500162,3944
UGC11377,97.7237220956,7664
ESO396-007,73.7904230129,5863
ESO281-038,57.0164272281,4939
IC4797,27.7971326776,2654
UGC11380,27.4157417193,3090
UGC11385,42.6579518802,3300
NGC6750,40.1790810849,3904
IC4810,34.8337315036,3117
UGC11394,64.8634433548,4432
UGC11404,37.6703798984,4114
IC4819,20.4173794467,1764
NGC6764,23.9883291902,2634
IC4821,25.003453617,2638
ESO282-018,62.2300285169,5584
NGC6754,38.0189396321,3198
ESO593-003,106.16955572,8294
ESO459-006,78.3429642766,5776
IC4830,57.5439937337,4377
IC4837A,51.5228644582,2790
UGC11422,32.8095293113,4877
UGC11426,45.7088189615,4626
NGC6792,78.7045789695,4863
NGC6796,37.3250157796,2410
UGC11433,51.9995996534,4654
UGC11435,36.982817978,3969
ESO397-018,65.7657837355,5432
ESO525-004,83.5603018231,6147
NGC6788,43.2513831035,3110
NGC6801,44.2588372363,4586
UGC11455,88.3079900419,5602
IC4871,24.6603933723,1859
UGC11459,47.424198526,3347
PGC063540,78.3429642766,6094
ESO460-031,82.7942163712,5853
IC4889,28.973435877,2501
ESO398-029,77.2680585096,5686
UGC11477,37.4973002245,3940
ESO461-006,77.2680585096,5986
UGC11492,40.926065973,3791
ESO526-011,85.1138038202,5917
PGC063832,65.1628394061,4987
ESO339-008,68.2338694142,5684
UGC11498,61.6595001861,3430
PGC063925,187.068214037,12078
IC4919,61.6595001861,4210
NGC6869,31.7687407065,2952
PGC064024,111.173172728,7300
NGC6851,35.8096437103,3022
ESO595-010,29.1071711807,2319
IC4943,31.3328572432,2885
NGC6861,27.7971326776,2797
NGC6868,26.7916832482,2922
NGC6861F,23.2273679636,3171
NGC6875A,29.1071711807,3157
UGC11527,72.7779804537,5637
PGC064373,95.0604793656,5698
ESO340-008,38.3707245492,2839
NGC6887,30.0607630263,2662
ESO340-009,28.7078058202,2593
IC4964,39.26449354,3044
UGC11537,73.4513868157,5558
NGC6911,30.9029543251,2704
ESO340-017,39.4457302075,2627
ESO527-019,39.4457302075,3189
PGC064534,75.8577575029,5778
NGC6901,73.1139083483,4959
NGC6916,45.9198012837,3328
NGC6906,65.4636174067,5027
NGC6902,29.2415237784,2786
UGC11552,76.5596606911,4709
UGC11551,54.9540873858,5049
NGC6907,43.2513831035,3246
ESO400-025,31.6227766017,2210
NGC6909,35.1560440528,2758
UGC11568,55.2077439281,4412
PGC064812,58.8843655356,5731
ESO340-038,54.9540873858,5536
UGC11579,95.0604793656,6029
NGC6923,32.359365693,2876
UGC11584,89.1250938134,5511
NGC6928,62.5172692776,4895
NGC6930,66.9884609417,4763
NGC6925,29.7851642943,2827
ESO340-042,21.1836113525,2663
UGC11595,53.4564359397,4175
NGC6949,29.5120922667,2984
PGC065022,100.925288608,5934
UGC11603,59.9791076256,5423
UGC11599,62.2300285169,4635
NGC6951,20.8929613085,1645
PGC065131,43.651583224,4039
UGC11613,36.140986264,2893
PGC065211,37.4973002245,3087
IC5039,21.5774440915,2757
UGC11635,71.4496326076,4996
IC5007,32.5087297385,2766
NGC6943,28.0543363795,3012
ESO285-048,28.1838293126,2701
ESO234-069,61.3762005165,4341
IC5026,33.5737614243,2614
PGC065506,97.2747223777,6153
UGC11648,37.3250157796,3584
UGC11647,114.287833479,8203
NGC6986,117.489755494,8633
UGC11651,20.796966871,1740
UGC11656,64.2687717317,4766
NGC7003,62.8058358813,5505
IC5071,30.9029543251,3008
IC5078,20.0447202737,1573
UGC11677,76.2079010025,5160
NGC7014,51.7606831951,4742
IC5084,54.7015962894,3051
PGC066242,33.4195040026,2375
NGC7029,38.0189396321,2757
NGC7040,40.7380277804,6295
ESO107-015,36.4753946926,3268
UGC11706,83.5603018231,4931
NGC7046,54.9540873858,4327
UGC11711,165.196179823,9172
ESO107-016,31.477483141,1706
NGC7047,91.2010839356,5940
NGC7041,25.4683025259,1920
UGC11738,70.4693068967,4424
UGC11719,156.314764264,8743
NGC7049,29.6483138952,2235
UGC11723,71.1213513653,5045
PGC066592,53.2108259267,4226
UGC11725,116.949939102,6433
ESO287-009,33.1131121483,2669
IC5104,64.8634433548,5163
ESO287-013,31.1888958409,2677
PGC066738,47.2063041264,3076
IC5105B,22.181964198,2254
NGC7059,20.4173794467,1662
ESO342-050,25.8226019063,2672
UGC11758,103.752841582,8805
IC5119,92.0449571753,5509
UGC11768,115.877735616,6810
NGC7083,32.9609712177,3018
ESO287-043,26.6685866452,2477
IC5120,37.3250157796,3228
NGC7097,32.0626932451,2598
